ui name,user intent,capability,java controler name,description,api name,end point
Analytics Module,Get Analytics Summary,Analytics,AnalyticsController,Auto-generated OpenAPI description for Get Analytics Summary,getAnalyticsSummary,/api/analytics/summary
Analytics Module,Get Ai Insights,Analytics,AnalyticsController,Auto-generated OpenAPI description for Get Ai Insights,getAiInsights,/api/analytics/insights
AssetDropdownOption Module,Get Options,AssetDropdownOption,AssetDropdownOptionController,Auto-generated OpenAPI description for Get Options,getOptions,/api/assets/options/{type}
AssetDropdownOption Module,Get Batch Options,AssetDropdownOption,AssetDropdownOptionController,Auto-generated OpenAPI description for Get Batch Options,getBatchOptions,/api/assets/options/batch
AssetDropdownOption Module,Add Option,AssetDropdownOption,AssetDropdownOptionController,Auto-generated OpenAPI description for Add Option,addOption,/api/assets/options/{type}
AssetDropdownOption Module,Delete Option,AssetDropdownOption,AssetDropdownOptionController,Auto-generated OpenAPI description for Delete Option,deleteOption,/api/assets/options/{id}
AssetDropdownOption Module,Update Option,AssetDropdownOption,AssetDropdownOptionController,Auto-generated OpenAPI description for Update Option,updateOption,/api/assets/options/{id}
Sow Module,Get Sows By Customer,Sow,SowController,Auto-generated OpenAPI description for Get Sows By Customer,getSowsByCustomer,/api/sows/customer/{customerId}
Sow Module,Download Sow Document,Sow,SowController,Auto-generated OpenAPI description for Download Sow Document,downloadSowDocument,/api/sows/{id}/download
Sow Module,Update Sow,Sow,SowController,Auto-generated OpenAPI description for Update Sow,updateSow,/api/sows/{sowId}
Payslip Module,API Endpoint,Payslip,PayslipController,Auto-generated OpenAPI description,savePayslip,/api/v1/payslips/save
Payslip Module,If,Payslip,PayslipController,Auto-generated OpenAPI description for If,uploadPayslipExcel,/api/v1/payslips/upload
Payslip Module,If,Payslip,PayslipController,Auto-generated OpenAPI description for If,getPayslipByEmployee,/api/v1/payslips/by-employee/{employeeId}
Payslip Module,API Endpoint,Payslip,PayslipController,Auto-generated OpenAPI description,generatePayslips,/api/v1/payslips/generate
Payslip Module,Return,Payslip,PayslipController,Auto-generated OpenAPI description for Return,get,/api/v1/payslips/{id}
Payslip Module,If,Payslip,PayslipController,Auto-generated OpenAPI description for If,getPayslipByEmployeeAndMonth,/api/v1/payslips/by-employee/{employeeId}/month/{month}
Ticket Module,Submit Ticket,Ticket,TicketController,Auto-generated OpenAPI description for Submit Ticket,submitTicket,/api/tickets/submit
Ticket Module,Submit Change Request,Ticket,TicketController,Auto-generated OpenAPI description for Submit Change Request,submitChangeRequest,/api/tickets/change-request/submit
Ticket Module,Get My Tickets,Ticket,TicketController,Auto-generated OpenAPI description for Get My Tickets,getMyTickets,/api/tickets/my-tickets/{employeeId}
Ticket Module,If,Ticket,TicketController,Auto-generated OpenAPI description for If,downloadAttachment,/api/tickets/download/{ticketId}
Ticket Module,Get All Tickets,Ticket,TicketController,Auto-generated OpenAPI description for Get All Tickets,getAllTickets,/api/tickets/all
Ticket Module,Assign Ticket,Ticket,TicketController,Auto-generated OpenAPI description for Assign Ticket,assignTicket,/api/tickets/assign/{ticketId}/{employeeId}
Ticket Module,Update Ticket Status,Ticket,TicketController,Auto-generated OpenAPI description for Update Ticket Status,updateTicketStatus,/api/tickets/update-status/{ticketId}
Ticket Module,Get Team Tickets,Ticket,TicketController,Auto-generated OpenAPI description for Get Team Tickets,getTeamTickets,/api/tickets/team-tickets
Ticket Module,Approve By Manager,Ticket,TicketController,Auto-generated OpenAPI description for Approve By Manager,approveByManager,/api/tickets/manager/approve/{ticketId}
Ticket Module,Reject By Manager,Ticket,TicketController,Auto-generated OpenAPI description for Reject By Manager,rejectByManager,/api/tickets/manager/reject/{ticketId}
Ticket Module,Get Tickets For Manager,Ticket,TicketController,Auto-generated OpenAPI description for Get Tickets For Manager,getTicketsForManager,/api/tickets/manager/{managerId}
Ticket Module,Debug Manager Assignments,Ticket,TicketController,Auto-generated OpenAPI description for Debug Manager Assignments,debugManagerAssignments,/api/tickets/manager/{managerId}/debug
Ticket Module,Transfer Ticket,Ticket,TicketController,Auto-generated OpenAPI description for Transfer Ticket,transferTicket,/api/tickets/transfer/{ticketId}
Ticket Module,Reassign Ticket,Ticket,TicketController,Auto-generated OpenAPI description for Reassign Ticket,reassignTicket,/api/tickets/reassign/{ticketId}
Ticket Module,Resolve Ticket,Ticket,TicketController,Auto-generated OpenAPI description for Resolve Ticket,resolveTicket,/api/tickets/resolve/{ticketId}
Ticket Module,Reopen Ticket,Ticket,TicketController,Auto-generated OpenAPI description for Reopen Ticket,reopenTicket,/api/tickets/reopen/{ticketId}
Ticket Module,Resend Ticket,Ticket,TicketController,Auto-generated OpenAPI description for Resend Ticket,resendTicket,/api/tickets/resend/{ticketId}
Ticket Module,Resubmit Ticket,Ticket,TicketController,Auto-generated OpenAPI description for Resubmit Ticket,resubmitTicket,/api/tickets/resubmit/{ticketId}
Ticket Module,Cancel Ticket,Ticket,TicketController,Auto-generated OpenAPI description for Cancel Ticket,cancelTicket,/api/tickets/cancel/{ticketId}
Ticket Module,Get Helpdesk Report,Ticket,TicketController,Auto-generated OpenAPI description for Get Helpdesk Report,getHelpdeskReport,/api/tickets/reports
Ticket Module,Save Draft,Ticket,TicketController,Auto-generated OpenAPI description for Save Draft,saveDraft,/api/tickets/draft
Ticket Module,Save Change Request Draft,Ticket,TicketController,Auto-generated OpenAPI description for Save Change Request Draft,saveChangeRequestDraft,/api/tickets/change-request/draft
Ticket Module,Get Drafts,Ticket,TicketController,Auto-generated OpenAPI description for Get Drafts,getDrafts,/api/tickets/drafts/{employeeId}
Ticket Module,Get Change Request Drafts,Ticket,TicketController,Auto-generated OpenAPI description for Get Change Request Drafts,getChangeRequestDrafts,/api/tickets/change-request/drafts/{employeeId}
Ticket Module,Delete Draft,Ticket,TicketController,Auto-generated OpenAPI description for Delete Draft,deleteDraft,/api/tickets/draft/{draftId}
Ticket Module,Delete Change Request Draft,Ticket,TicketController,Auto-generated OpenAPI description for Delete Change Request Draft,deleteChangeRequestDraft,/api/tickets/change-request/draft/{draftId}
KnowledgeHub Module,Upload,KnowledgeHub,KnowledgeHubController,Auto-generated OpenAPI description for Upload,upload,/api/knowledge-hub/upload
KnowledgeHub Module,Get Latest,KnowledgeHub,KnowledgeHubController,Auto-generated OpenAPI description for Get Latest,getLatest,/api/knowledge-hub/latest
KnowledgeHub Module,Get All,KnowledgeHub,KnowledgeHubController,Auto-generated OpenAPI description for Get All,getAll,/api/knowledge-hub/all
KnowledgeHub Module,If,KnowledgeHub,KnowledgeHubController,Auto-generated OpenAPI description for If,serveFile,/api/knowledge-hub/file/{id}
KnowledgeHub Module,Delete Handbook,KnowledgeHub,KnowledgeHubController,Auto-generated OpenAPI description for Delete Handbook,deleteHandbook,/api/knowledge-hub/delete/{id}
KnowledgeHub Module,Get Categories,KnowledgeHub,KnowledgeHubController,Auto-generated OpenAPI description for Get Categories,getCategories,/api/knowledge-hub/categories
KnowledgeHub Module,Add Category,KnowledgeHub,KnowledgeHubController,Auto-generated OpenAPI description for Add Category,addCategory,/api/knowledge-hub/categories
KnowledgeHub Module,Delete Category,KnowledgeHub,KnowledgeHubController,Auto-generated OpenAPI description for Delete Category,deleteCategory,/api/knowledge-hub/categories/{id}
AssetAllocation Module,Process Return,AssetAllocation,AssetAllocationController,Auto-generated OpenAPI description for Process Return,processReturn,/api/assets/allocations/{id}/return
AssetAllocation Module,Delete Allocation,AssetAllocation,AssetAllocationController,Auto-generated OpenAPI description for Delete Allocation,deleteAllocation,/api/assets/allocations/{id}
CompanyLocation Module,Get Location By Id,CompanyLocation,CompanyLocationController,Auto-generated OpenAPI description for Get Location By Id,getLocationById,/api/admin/company-locations/{id}
